Id,SalePrice
1461,118329.867188
1462,159314.84375
1463,179492.71875
1464,185685.25
1465,200519.890625
1466,171374.125
1467,174393.71875
1468,162865.34375
1469,189194.125
1470,127068.601562
1471,196104.0
1472,90920.6796875
1473,88444.9609375
1474,151087.921875
1475,124973.382812
1476,394848.40625
1477,252436.5625
1478,284436.0625
1479,306919.0625
1480,453270.90625
1481,349722.90625
1482,207821.203125
1483,164783.421875
1484,169983.078125
1485,177136.65625
1486,193568.46875
1487,341929.90625
1488,249424.921875
1489,200513.953125
1490,200934.140625
1491,192708.484375
1492,97414.890625
1493,180008.1875
1494,313967.6875
1495,303319.03125
1496,230166.359375
1497,184460.171875
1498,157985.375
1499,160727.375
1500,144698.59375
1501,163465.984375
1502,149348.921875
1503,285564.28125
1504,236574.78125
1505,230282.28125
1506,187676.703125
1507,247299.625
1508,193197.03125
1509,166623.3125
1510,147361.265625
1511,146788.015625
1512,172060.9375
1513,139078.0625
1514,166223.03125
1515,195630.109375
1516,156228.359375
1517,158845.453125
1518,145823.59375
1519,212227.53125
1520,138155.859375
1521,137544.953125
1522,172810.328125
1523,113656.265625
1524,123919.851562
1525,128806.5
1526,124211.625
1527,115201.828125
1528,134818.234375
1529,146442.640625
1530,181571.984375
1531,110506.664062
1532,103228.734375
1533,140704.578125
1534,123173.796875
1535,142368.59375
1536,108438.4375
1537,79232.1953125
1538,164459.21875
1539,203990.578125
1540,96853.9921875
1541,134804.21875
1542,125553.484375
1543,211059.890625
1544,80423.9140625
1545,99506.9921875
1546,122914.46875
1547,131006.460938
1548,119672.421875
1549,110005.945312
1550,137128.3125
1551,123336.476562
1552,133612.625
1553,153393.171875
1554,113892.484375
1555,165738.5
1556,87050.5078125
1557,102464.773438
1558,80231.859375
1559,90221.390625
1560,131539.265625
1561,135650.859375
1562,129081.09375
1563,123278.976562
1564,158347.546875
1565,143151.15625
1566,238625.4375
1567,73058.625
1568,218881.671875
1569,128760.8125
1570,137843.296875
1571,123480.0625
1572,153940.828125
1573,251932.953125
1574,119718.3125
1575,221429.6875
1576,212608.78125
1577,195261.046875
1578,146319.515625
1579,152053.078125
1580,198175.4375
1581,142504.015625
1582,129899.960938
1583,313598.71875
1584,222573.375
1585,141529.828125
1586,77337.9765625
1587,99837.8828125
1588,147516.484375
1589,89435.484375
1590,135463.65625
1591,99725.5
1592,118316.554688
1593,132270.515625
1594,112419.796875
1595,114997.984375
1596,243704.40625
1597,183256.984375
1598,218792.984375
1599,194123.25
1600,194358.515625
1601,60377.1835938
1602,119725.84375
1603,83747.2734375
1604,259979.75
1605,252914.15625
1606,168116.515625
1607,178537.359375
1608,211237.09375
